1 GorokaAirport Goroka PapuaNewGuinea GKA AYGA -6.081689834590001 145.391998291 5282 10 U Pacific/PortMoresby airport OurAirports 
2 MadangAirport Madang PapuaNewGuinea MAG AYMD -5.20707988739 145.789001465 20 10 U Pacific/PortMoresby airport OurAirports 
3 MountHagenKagamugaAirport MountHagen PapuaNewGuinea HGU AYMH -5.826789855957031 144.29600524902344 5388 10 U Pacific/PortMoresby airport OurAirports 
4 NadzabAirport Nadzab PapuaNewGuinea LAE AYNZ -6.569803 146.725977 239 10 U Pacific/PortMoresby airport OurAirports 
5 PortMoresbyJacksonsInternationalAirport PortMoresby PapuaNewGuinea POM AYPY -9.443380355834961 147.22000122070312 146 10 U Pacific/PortMoresby airport OurAirports 
6 WewakInternationalAirport Wewak PapuaNewGuinea WWK AYWK -3.58383011818 143.669006348 19 10 U Pacific/PortMoresby airport OurAirports 
7 NarsarsuaqAirport Narssarssuaq Greenland UAK BGBW 61.1604995728 -45.4259986877 112 -3 E America/Godthab airport OurAirports 
8 Godthaab/NuukAirport Godthaab Greenland GOH BGGH 64.19090271 -51.6781005859 283 -3 E America/Godthab airport OurAirports 
9 KangerlussuaqAirport Sondrestrom Greenland SFJ BGSF 67.0122218992 -50.7116031647 165 -3 E America/Godthab airport OurAirports 
10 ThuleAirBase Thule Greenland THU BGTL 76.5311965942 -68.7032012939 251 -4 E America/Thule airport OurAirports 
11 AkureyriAirport Akureyri Iceland AEY BIAR 65.66000366210938 -18.07270050048828 6 0 N Atlantic/Reykjavik airport OurAirports 
12 EgilsstaðirAirport Egilsstadir Iceland EGS BIEG 65.2833023071289 -14.401399612426758 76 0 N Atlantic/Reykjavik airport OurAirports 
13 HornafjörðurAirport Hofn Iceland HFN BIHN 64.295601 -15.2272 24 0 N Atlantic/Reykjavik airport OurAirports 
14 HúsavíkAirport Husavik Iceland HZK BIHU 65.952301 -17.426001 48 0 N Atlantic/Reykjavik airport OurAirports 
15 ÍsafjörðurAirport Isafjordur Iceland IFJ BIIS 66.05809783935547 -23.135299682617188 8 0 N Atlantic/Reykjavik airport OurAirports 
16 KeflavikInternationalAirport Keflavik Iceland KEF BIKF 63.985000610352 -22.605600357056 171 0 N Atlantic/Reykjavik airport OurAirports 
17 PatreksfjörðurAirport Patreksfjordur Iceland PFJ BIPA 65.555801 -23.965 11 0 N Atlantic/Reykjavik airport OurAirports 
18 ReykjavikAirport Reykjavik Iceland RKV BIRK 64.1299972534 -21.9405994415 48 0 N Atlantic/Reykjavik airport OurAirports 
19 SiglufjörðurAirport Siglufjordur Iceland SIJ BISI 66.133301 -18.9167 10 0 N Atlantic/Reykjavik airport OurAirports 
20 VestmannaeyjarAirport Vestmannaeyjar Iceland VEY BIVM 63.42430114746094 -20.278900146484375 326 0 N Atlantic/Reykjavik airport OurAirports 
21 SaultSteMarieAirport SaultSainteMarie Canada YAM CYAM 46.48500061035156 -84.5093994140625 630 -5 A America/Toronto airport OurAirports 
22 Winnipeg/St.AndrewsAirport Winnipeg Canada \N CYAV 50.0564002991 -97.03250122070001 760 -6 A America/Winnipeg airport OurAirports 
